,0,1,2,3,4,5,6,7,8
0,0,420,20,680,20,420,110,680,110
1,0,800,10,895,10,800,70,895,70
2,0,920,10,1030,10,920,70,1030,70
3,0,1130,20,1390,20,1130,110,1390,110
4,1,1470,125,1545,125,1470,250,1545,250
5,1,1600,290,1650,290,1600,430,1650,430
6,1,1720,480,1830,480,1720,730,1830,730
7,1,1860,800,1900,800,1860,1040,1900,1040
8,0,1595,1000,1895,1000,1595,1080,1895,1080
9,0,1290,1000,1590,1000,1290,1080,1590,1080
10,0,985,1000,1285,1000,985,1080,1285,1080
11,0,680,1000,980,1000,680,1080,980,1080
12,0,375,1000,675,1000,375,1080,675,1080
13,0,70,1000,370,1000,70,1080,370,1080
14,1,0,470,80,470,0,570,80,570
15,1,320,220,400,220,320,400,400,400
16,0,800,480,1000,480,800,540,1000,540
17,1,1000,510,1070,510,1000,660,1070,660
18,0,800,620,1000,620,800,700,1000,700
19,1,745,510,815,510,745,660,815,660
