,0,1,2,3,4,5,6,7,8
0,0,420,20,680,20,420,130,680,130
1,0,770,10,895,10,770,70,895,70
2,0,920,10,1060,10,920,70,1060,70
3,0,1130,20,1390,20,1130,130,1390,130
4,1,1460,125,1545,125,1460,250,1545,250
5,1,1530,290,1650,290,1530,430,1650,430
6,1,1680,480,1830,480,1680,730,1830,730
7,1,1810,800,1920,800,1810,1080,1920,1080
8,0,1595,980,1895,980,1595,1080,1895,1080
9,0,1290,980,1590,980,1290,1080,1590,1080
10,0,985,980,1285,980,985,1080,1285,1080
11,0,680,980,980,980,680,1080,980,1080
12,0,375,980,675,980,375,1080,675,1080
13,0,70,980,370,980,70,1080,370,1080
14,1,0,470,250,470,0,570,250,570
15,1,320,220,420,220,320,400,420,400
16,0,800,480,1000,480,800,540,1000,540
17,1,1000,510,1070,510,1000,660,1070,660
18,0,800,620,1000,620,800,700,1000,700
19,1,745,510,815,510,745,660,815,660
20,1,0,570,250,570,0,670,250,670
21,1,0,670,250,670,0,720,250,720
22,0,800,140,1030,140,800,220,1030,220
